Grado de confianza en detección : 0.5
Imagen	Tiempo( ms)	Rostros
imagen_01.jpg	20.43	3	
imagen_02.jpg	12.60	2	
imagen_03.jpg	13.31	6	
imagen_04.jpg	12.78	0	
imagen_05.jpg	11.89	3	
imagen_06.jpg	11.99	1	
imagen_07.jpg	13.86	0	
imagen_08.jpg	12.23	1	
imagen_09.jpg	11.94	2	
imagen_10.jpg	13.21	1	
imagen_11.jpg	12.28	3	
imagen_12.jpg	12.17	2	
imagen_13.jpg	12.26	3	
Tiempo promedio por imagen : 13.15 milisegundos
