Grado de confianza en detección : 0.8
Imagen	Tiempo( ms)	Rostros
imagen_01.jpg	48.83	3	
imagen_02.jpg	31.87	2	
imagen_03.jpg	16.22	6	
imagen_04.jpg	16.78	0	
imagen_05.jpg	16.13	3	
imagen_06.jpg	15.84	1	
imagen_07.jpg	14.58	0	
imagen_08.jpg	12.72	1	
imagen_09.jpg	10.72	2	
imagen_10.jpg	11.41	1	
imagen_11.jpg	11.19	3	
imagen_12.jpg	11.07	2	
imagen_13.jpg	11.69	3	
Tiempo promedio por imagen : 17.62 milisegundos
